id,firstName,lastName,shortFirstName,shortLastName,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,status,active,knownName,placeOfBirth,secondNationality,secondNationalityId
b9g3gwxlao9u6y4elz1sdukmh,Elijah Henry,Just,Elijah,Just,E. Just,New Zealand,wcq2y28a27syx5do1k2i2nj8,Midfielder,player,2000-05-01,New Zealand,wcq2y28a27syx5do1k2i2nj8,174.0,68.0,right,27.0,active,yes,NaN,NaN,NaN,NaN
c1p51x3fg0dgss14z9vozfqc4,Anton Noah Christian,Ekeroth,Anton,Ekeroth,A. Ekeroth,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2001-09-16,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,12.0,active,yes,NaN,NaN,NaN,NaN
cphvg2nexeks2vwd2ezb4zuok,Kouassi Odilon Bryan,Me Atowoula,NaN,NaN,O. Kouassi,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Midfielder,player,2005-10-13,Côte d'Ivoire,tin6kf561ywonqan0mettr98,187.0,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN
cyast97jr969kqwdltszg1p0p,Marcus,Bobjerg Jakobsen,Marcus,Bobjerg,M. Bobjerg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,1998-01-26,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,76.0,right,30.0,active,yes,NaN,NaN,NaN,NaN
dsfbfzwy3c06mu50ee89qrbsa,Marinus Frederik,Løvgren Larsen,Marinus,Larsen,M. Larsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2003-12-30,Denmark,5adf60vwiw2f2mibyq1k4ex7i,169.0,63.0,right,19.0,active,yes,NaN,NaN,NaN,NaN
duahzgqspyuy2gu31u3s8ky96,Mikkel,Møller Lassen,Mikkel,Lassen,M. Lassen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2001-06-19,Denmark,5adf60vwiw2f2mibyq1k4ex7i,181.0,74.0,right,17.0,active,yes,NaN,NaN,NaN,NaN
e0q7vplzzxb23i607ztmnm5lh,Lubambo Sailas,Musonda,Lubambo,Musonda,L. Musonda,Zambia,2dlu3zrfid7nl6ppmb04hjgot,Defender,player,1995-03-01,Zambia,2dlu3zrfid7nl6ppmb04hjgot,171.0,75.0,both,NaN,active,no,NaN,Lusaka,NaN,NaN
e2157naqwp1qdsgaxre307cb8,Hjalte,Toftegaard,Hjalte,Toftegaard,H. Toftegaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2006-06-25,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,32.0,active,yes,NaN,NaN,NaN,NaN
emi8qy4aaxle4m9n9e32d7wno,Lasse,Risager Kristensen,NaN,NaN,L. Kristensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,26.0,active,yes,NaN,NaN,NaN,NaN
eso2tbbpnxu9qvx6zy07m5jx0,Julius,Madsen,NaN,NaN,J. Madsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2003-08-01,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,14.0,active,yes,NaN,Næstved,NaN,NaN
f5hf8nozzscj5ayxqueo68nvt,Samson,Iyede Onomigho,Samson,Iyede,S. Iyede,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,1998-01-28,Nigeria,63pvdwrsiq5b07mzi8igqei9p,181.0,78.0,right,26.0,active,no,NaN,Orogun,NaN,NaN
s8c0oxnoqt6zi7pi88rwawvd,Jacob,Buus Jacobsen,Jacob,Buus,J. Buus,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1997-03-07,Denmark,5adf60vwiw2f2mibyq1k4ex7i,177.0,67.0,NaN,15.0,active,no,NaN,Odense,NaN,NaN
14r1c22voyj02dx8bni4eketw,André Micael,Álvarez Pérez,André,Pérez,A. Pérez,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2005-03-23,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,24.0,active,yes,NaN,NaN,Chile,32tb8d7824xg4i0ybxzssczu0
1arzd8hqj73byhduozscqz5uy,Mathias,Jørgensen,Mathias,Jørgensen,M. Jørgensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2000-09-20,Denmark,5adf60vwiw2f2mibyq1k4ex7i,185.0,75.0,right,30.0,active,yes,Mathias Jørgensen,Hundested,NaN,NaN
1dvhwhz4n5f9cf4ts58rfu21,Nils Daniel Erik,Ask,Daniel,Ask,D. Ask,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,1998-12-20,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,18.0,active,yes,NaN,NaN,NaN,NaN
1qyvk3eveiz8n40houjgtko9h,Daniel Fredrik,Granli,Daniel,Granli,D. Granli,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1994-05-01,Norway,7f16iy4w8u8ogyn6pfooqwv5z,188.0,78.0,right,5.0,active,no,NaN,Sandvika,NaN,NaN
1xqap7xy7hm8exzl56ak0xhck,Max,Vartuli,Max,Vartuli,M. Vartuli,Australia,u5ieemi69z72c3bgczyy68lo,Goalkeeper,player,2005-01-20,Australia,u5ieemi69z72c3bgczyy68lo,192.0,NaN,left,40.0,active,yes,NaN,NaN,NaN,NaN
2513579m13glsous1p82fbjzd,Andreas,Poulsen,Andreas,Poulsen,A. Poulsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1999-10-13,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,80.0,left,25.0,active,no,NaN,Ikast,NaN,NaN
3c7oy1stwyquawdfzzom13xn8,Anders Abdull-Gaffar Haidar,Noshe,Anders,Noshe,A. Noshe,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2006-01-09,Denmark,5adf60vwiw2f2mibyq1k4ex7i,174.0,NaN,right,31.0,active,yes,NaN,Aalborg,NaN,NaN
3iwqwfxwk3h00rztyn7xhaw44,Patrick,Aurø Allentoft,NaN,NaN,P. Allentoft,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,NaN,active,no,NaN,NaN,NaN,NaN
3q4tnk1z46lop4rbdpjtfoc2c,Viktor Melker,Widell,Melker,Widell,M. Widell,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2002-04-19,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,8.0,active,yes,NaN,NaN,NaN,NaN
3tka46re2gsi9uw7pbxx5m0pg,Bertil Magne,Grønkjær Pedersen,Bertil,Pedersen,B. Pedersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2007-07-24,Denmark,5adf60vwiw2f2mibyq1k4ex7i,195.0,NaN,right,50.0,active,yes,NaN,Aalborg,NaN,NaN
3v40cf58jryvu4l4cxu4w9ht6,Bo Tim Rade Tiger,Prica,Tim,Prica,T. Prica,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2002-04-23,Sweden,1z6l2c33w2kyz9rdefs1d68nb,183.0,75.0,left,11.0,active,no,NaN,Helsingborg,NaN,NaN
41rqawrpfkxlg34pnqnw93xed,Oscar Karl Niclas,Hiljemark,Oscar,Hiljemark,O. Hiljemark,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,coach,1992-06-28,Sweden,1z6l2c33w2kyz9rdefs1d68nb,184.0,77.0,right,NaN,active,no,NaN,Gislaved,NaN,NaN
4dmz3u7j1eoz4ofr1o8tbxedw,Oscar,Nørgaard Meedom,Oscar,Meedom,O. Meedom,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2005-08-16,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,NaN,active,no,NaN,NaN,NaN,NaN
4nuyjtf63jplthu4uhxlb9yj8,Mathias,Haugaasen,NaN,NaN,M. Haugaasen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,coach,1979-05-24,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN
4sgxth7onhb5mu29bgyupby3u,Jubril,Adedeji,NaN,NaN,J. Adedeji,England,1fk5l4hkqk12i7zske6mcqju6,Midfielder,player,2000-05-25,England,1fk5l4hkqk12i7zske6mcqju6,NaN,NaN,NaN,7.0,active,yes,NaN,NaN,NaN,NaN
5521epytthhw9afm2r3jn3384,Valdemar,Møller Damgaard,NaN,NaN,V. Damgaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2007-05-20,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,49.0,active,yes,NaN,NaN,NaN,NaN
5lz41celw55rz3zh8pohclw5w,Oliver,Ross,Oliver,Ross,O. Ross,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2004-10-10,Denmark,5adf60vwiw2f2mibyq1k4ex7i,186.0,74.0,right,38.0,active,yes,NaN,Aalborg,NaN,NaN
5sh5t0j4c7wfs2j4tv4jdg7v9,Josip,Posavec,Josip,Posavec,J. Posavec,Croatia,37hlakrwxyuzovaeoo4sezusp,Goalkeeper,player,1996-03-10,Croatia,37hlakrwxyuzovaeoo4sezusp,190.0,85.0,right,1.0,active,yes,NaN,Varaždin,NaN,NaN
6d05w3h1odtki5z4wqojf6z56,Emmanuel,Toku,Emmanuel,Toku,E. Toku,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,player,2000-07-10,Ghana,2q2sw72utw5gu9t5y4knckwba,173.0,NaN,left,17.0,active,yes,NaN,Kumasi,NaN,NaN
6fno1nklmlp93liytohma0mol,Pedro Miguel,Dinis Ferreira,Pedro Miguel,Dinis Ferreira,Pedro Ferreira,Portugal,1nbm5i9a0403zzvltn17lxinc,Midfielder,player,1998-01-05,Portugal,1nbm5i9a0403zzvltn17lxinc,183.0,81.0,right,6.0,active,no,Pedro Ferreira,NaN,NaN,NaN
6qx1wjqdylhlu307jg285lrrp,Kristoffer,Pallesen,Kristoffer,Pallesen,K. Pallesen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1990-04-30,Denmark,5adf60vwiw2f2mibyq1k4ex7i,175.0,72.0,right,2.0,retired,no,NaN,Aarhus,NaN,NaN
6v1kpakd3t0jhnoh1eh75ev4k,Kasper,Davidsen,NaN,NaN,K. Davidsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2005-01-25,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,right,48.0,active,yes,NaN,NaN,NaN,NaN
7165hb1x2ygl2j5weox7hy6i2,Jeppe,Pedersen,Jeppe,Pedersen,J. Pedersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2001-03-03,Denmark,5adf60vwiw2f2mibyq1k4ex7i,180.0,72.0,right,28.0,active,no,NaN,Hirtshals,NaN,NaN
7qm1t01aezewoeyu1e6lawiz8,Sebastian,Stahlfest,Sebastian,Stahlfest,S. Stahlfest,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2004-06-17,Denmark,5adf60vwiw2f2mibyq1k4ex7i,183.0,70.0,right,36.0,active,no,NaN,NaN,NaN,NaN
7yst1mucy7jynmpzu1thox2i,Lars,Kramer,Lars,Kramer,L. Kramer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,1999-07-11,Netherlands,6hzi5pltnz67q4la8yli9qfv6,192.0,75.0,right,4.0,active,yes,NaN,Zaandam,NaN,NaN
8bfew6mf9m26cj07fq32uf2wa,Richard,Odada,Richard,Odada,R. Odada,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,Midfielder,player,2000-11-25,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,190.0,NaN,NaN,16.0,active,yes,NaN,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0
8kmwxl1xblwfsb0h40mkgrlcl,Lucas,Qvistorff Andersen,Lucas,Andersen,L. Andersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1994-09-13,Denmark,5adf60vwiw2f2mibyq1k4ex7i,184.0,72.0,right,10.0,active,no,NaN,Aalborg,NaN,NaN
974s3rwvb2ls1k1no4hlaz8ph,Diego,Caballo Alonso,Diego,Caballo,Diego Caballo,Spain,49ih1pwv3ahshdf8uzrimi54c,Defender,player,1994-02-17,Spain,49ih1pwv3ahshdf8uzrimi54c,171.0,67.0,left,15.0,active,yes,NaN,Salamanca,NaN,NaN
9dnceiwcpsatrdrj2m1uz6pnu,Louka Daniel,Prip Andreasen,Louka,Prip,L. Prip,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,1997-06-29,Denmark,5adf60vwiw2f2mibyq1k4ex7i,182.0,70.0,left,18.0,active,no,NaN,Hvidovre,NaN,NaN
acd2suy0kx4a4z5xfi1qiwiqx,Allan,Gonçalves Sousa,Allan,Gonçalves Sousa,Allan Sousa,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Attacker,player,1997-01-27,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,174.0,63.0,left,7.0,active,no,Allan Sousa,NaN,NaN,NaN
bb8q9cgqzw9n2tmkl8s3bth0q,Younes,Bakiz,Younes,Bakiz,Y. Bakiz,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,1999-02-05,Denmark,5adf60vwiw2f2mibyq1k4ex7i,186.0,76.0,left,23.0,active,yes,NaN,NaN,NaN,NaN
bmz2yqayufuyy33p3drvtjgt1,Jakob,Ahlmann Nielsen,Jakob,Ahlmann,J. Ahlmann,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1991-01-18,Denmark,5adf60vwiw2f2mibyq1k4ex7i,179.0,70.0,left,3.0,active,yes,NaN,Ålborg,NaN,NaN
brinkgys7026490q3ixx6h9uc,Nóel Atli,Arnórsson,Nóel,Arnórsson,N. Arnórsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2006-09-30,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,NaN,NaN,45.0,active,yes,NaN,NaN,NaN,NaN
cdrlv6wsp2wn9sxiqvru9j2l1,Rasmus,Würtz,Rasmus,Würtz,R. Würtz,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,assistant coach,1983-09-18,Denmark,5adf60vwiw2f2mibyq1k4ex7i,179.0,68.0,right,NaN,active,yes,NaN,Skive,NaN,NaN
cija98y42jt8a4spx1nzglsrt,Jonas,Ellinghaugen Skulstad,Jonas,Skulstad,J. Skulstad,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1998-04-21,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,24.0,active,no,NaN,NaN,NaN,NaN
cul6phe87idi5dn1hsfywxhwp,Rody,de Boer,Rody,de Boer,R. de Boer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,1997-08-22,Netherlands,6hzi5pltnz67q4la8yli9qfv6,191.0,89.0,right,22.0,active,yes,NaN,Den Haag,NaN,NaN
cw6s5hf1tytvb98vjuosz9r6d,Rasmus,Thelander,Rasmus,Thelander,R. Thelander,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1991-07-09,Denmark,5adf60vwiw2f2mibyq1k4ex7i,190.0,87.0,right,26.0,active,yes,NaN,København,NaN,NaN
de0dokhb6u6hts2hu5aupgiga,Kasper Poul,Mølgaard Jørgensen,Kasper,Jørgensen,K. Jørgensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1999-11-07,Denmark,5adf60vwiw2f2mibyq1k4ex7i,185.0,80.0,right,20.0,active,yes,NaN,NaN,NaN,NaN
dq2eqqywinhsh9ijg8amqyp78,Sebastian,Otoa,Sebastian,Otoa,S. Otoa,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2004-05-13,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,75.0,right,34.0,active,yes,NaN,NaN,NaN,NaN
ejixz16616b7krftxyzv9yiac,Mads,Bomholt,NaN,NaN,M. Bomholt,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2005-12-30,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,left,32.0,active,yes,NaN,Hadsund,NaN,NaN
